gene_id	gene_name	individual_1	individual_2	individual_3	individual_4	individual_5	individual_6	individual_7	individual_8	individual_9	individual_10
ENSG00000250260.1	AC113382.2	0	0.0995	0.0957	0.1309	0	4.4531	0	0	0.7604	0
ENSG00000250261.1	CCDC74BP1	0.2185	0.7442	0	0.3765	0	0.2135	0.0645	0	0	0
ENSG00000250263.2	LINC02509	0	0	0	0	0	0	0	0	0	0
ENSG00000250264.1	AL669918.1	0	0	0	0	0	0	0	0	0	0
ENSG00000250266.2	LINC01612	0	0.0588	0	0.0387	0	1.2611	0.2981	1.4514	0.0499	13.2367
ENSG00000250267.2	AC021237.1	0	0.0783	0.0376	0	0	1.9698	0	0	0.0332	0
ENSG00000250268.3	ALG1L14P	0	0	0	0.5845	0.1352	0	0.3336	0.3178	0.8803	0
ENSG00000250271.2	AC068647.2	22.5223	0.2458	0	0	0	0.6876	0	0.5275	0	0.3293
ENSG00000250272.1	TRMT112P1	0	0	0	0	0	0	0	0	0	0
ENSG00000250273.1	PSMC1P5	0.4621	0.3632	0	0.4777	0	0	0	0	0.3084	0
ENSG00000250274.2	AC034199.1	0.072	0.1415	0.1633	0.4094	0.0775	0.2638	0.0637	0.3339	0.1441	0.0758
ENSG00000250277.2	AC021146.7	0	0	0	0	0	0.3093	0	0	0	0
ENSG00000250280.2	AC026124.1	0	0.0186	0	0.0245	0	12.1355	0	0	0.0474	0
ENSG00000250282.1	AC002401.2	0.1902	0.598	0.2875	0	1.3645	0.2788	0	0.4812	0.7616	0
ENSG00000250284.3	AC109439.1	0	0	0	0.2272	0	0.046	1.1673	0	0	0
ENSG00000250286.2	AC021491.2	0.3954	0.0388	0.1121	0.8686	0	0	0.6999	0.0834	0.2309	0.5203
ENSG00000250289.1	VWA8P1	0	0	0	0	0	0	0	0	0	0
ENSG00000250290.1	NCAPGP1	0	0.1418	0.0682	0.0466	0	10.4402	0	0.1141	0.1204	0.3798
ENSG00000250292.1	AC093844.1	0.2404	0	0	0.0621	0.0431	0	0.1064	0.4561	0.0802	0
ENSG00000250293.1	CRYZP2	0	0	0	0	0	0.6856	0	0.1315	0	0
ENSG00000250295.6	RDH10-AS1	0.2367	0.3044	0.0163	0.6451	0.0309	0.5046	0.0571	0.2359	0.0144	0.0453
ENSG00000250298.6	GIMD1	0	0	0	0	0.0387	0.0791	0	0	0	0
ENSG00000250299.6	MRPS31P4	0.9549	2.0012	2.7062	2.3031	0.5708	7.8121	0.7747	0.5368	2.3362	2.8482
ENSG00000250300.1	AP001960.1	0	0	0	0	0	0	0	0	0	0
ENSG00000250302.3	LINC01618	0.7946	0.3824	0.0368	0.0838	0	0.2614	0.0574	0.082	0.2056	0.4098
ENSG00000250303.4	LINC02762	1.3165	0.97	0.2176	11.5815	6.6003	2.6525	6.1658	0.6013	2.4614	1.1838
ENSG00000250304.2	ZBED1P1	0	0	0	0	0	0	0	0	0	0
ENSG00000250305.9	TRMT9B	0.0279	4.1328	0.0379	2.2366	2.8719	7.0926	0.1826	1.2037	0.0149	0.3875
ENSG00000250306.1	AC091826.1	0	0.2054	0	0.2702	0	1.9148	0	0	0	0
ENSG00000250307.2	TUBB8P3	0	0	0.077	0	0	0	0	0	0	0
ENSG00000250308.2	SALL4P1	0	0	0	0	0	0.0644	0	0	0	0
ENSG00000250309.2	AC008453.1	0	0	0	0	0	0	0	0	0	0
ENSG00000250310.2	AC006487.2	0	0.216	0	0.4734	0	0.1342	0.3243	0.0772	0	0
ENSG00000250312.8	ZNF718	6.0789	12.622	30.04	8.4174	5.2394	11.4595	5.2091	1.7811	4.3898	2.1729
ENSG00000250313.3	LINC02229	0	0	0	0	0	0.1386	0	0	0	0
ENSG00000250315.2	AC110760.2	0	0.826	0	0	0	0	0	0	0	0
ENSG00000250316.1	AC068880.1	0	0	0	0	0	0.0522	0	0	0	0
ENSG00000250317.8	SMIM20	64.0393	35.1752	62.2063	74.6436	38.2915	5.8742	107.387	38.2516	34.6721	49.4693
ENSG00000250318.1	AC003072.1	4.0098	7.8785	4.4448	8.4281	1.4381	4.3088	8.5176	6.6493	4.816	12.1014
ENSG00000250319.1	AC010460.2	0	0	0	0	0	0	0	0	0	0
ENSG00000250320.6	EDIL3-DT	0.1455	0.6218	0.0069	0.1598	0.6523	0.0267	0.0563	0.2224	0.0971	0.1915
ENSG00000250321.1	AC079140.2	5.1845	2.7164	4.7891	10.7186	0.8264	24.4793	3.0591	2.4286	32.2877	8.4904
ENSG00000250322.2	AC026402.1	0	0	0	0	0	7.0508	0	0	0	0
ENSG00000250324.2	MRPL22P1	0	0	0	0	0	0.5838	0	0	0	0
ENSG00000250325.1	IGBP1P4	0	0.1463	0.0703	9.8121	0.1335	0	0.0824	0.1569	0.0621	0
ENSG00000250326.2	AC104596.1	1.4555	1.3346	3.3001	2.2067	1.1136	6.7539	0.9447	1.35	0.5503	0.4086
ENSG00000250327.1	RPSAP70	0.6627	1.2649	1.7173	1.1744	1.3582	0	3.0167	1.2773	0.0632	0.3987
ENSG00000250328.6	MGC32805	0.1709	0.0537	0	0.0353	0.0245	0	0	1.9599	0.0684	0.9357
ENSG00000250329.1	KDELC1P1	0.1626	0.0426	0.041	0	0	1.7475	0	0	0.0362	0.6848
ENSG00000250330.1	AC016559.3	0	0	0	0	0.1634	0.6678	0	0	0.3041	0.4798
ENSG00000250331.2	LINC01340	0.1458	0	0	0.2583	0.0149	0.3052	0.0737	0.0351	0.0278	0
ENSG00000250332.1	AC010460.3	0	0.0814	0.0392	0.0536	0	0.1518	0	0	0.1037	0
ENSG00000250333.2	AC093725.2	0.0388	0	0	0	0.0278	0	0	0	0	0
ENSG00000250334.6	LINC00989	0.0131	0.0825	0.0099	0.095	1.2899	0	0.0116	0.0443	0.0263	0.0829
ENSG00000250337.7	PURPL	0.0146	0	0	0.0151	0.4922	0.1497	0.0905	0.0862	0.9741	2.5207
ENSG00000250338.1	AC095057.2	0	0	0	0	0	0	0	0	0	0
ENSG00000250339.2	CXCL1P1	0	0	0	0	0	0	0	0	0	0
ENSG00000250340.1	LINC02494	0	0	0	0	0	0	0	0	0	0
ENSG00000250341.1	LINC02510	0	0	0	0	0	0	0	0	0	0
ENSG00000250342.1	SNRPCP16	0	1.2245	0.2944	0	0.2794	2.8539	0	2.2991	0.5198	0
ENSG00000250343.1	STK32A-AS1	0.1896	1.4154	0	6.6627	0.068	0	4.1947	0.5595	0.5692	0
ENSG00000250344.1	AC105254.1	0	0	0	0	0	0	0	0.2221	0	0
ENSG00000250345.2	AC104090.1	0.0699	0	0	0	0	0.2047	0	0	0	0
ENSG00000250346.1	EEF1GP2	0.1974	0.1034	0.2487	0.1361	0	0.2893	0.1165	0	0.1317	0.1386
ENSG00000250347.1	AC005740.2	0.1952	0	0	0	0	0	0	0	0.2605	0.4111
ENSG00000250348.1	AC113404.1	0	0.2551	0	0	0	0.1586	0	0.0912	0	0
ENSG00000250349.3	AF241726.1	0	0	0	0	0	0	0	0	0	0
ENSG00000250350.1	AC104819.2	0	0.3944	0	0	0	0	0	0	0	0
ENSG00000250351.1	H3P20	0	0	0	0	0	0	0	0	0	0
ENSG00000250354.1	AC069272.1	0	0	0	0.1243	0	0.1763	0	0	0	0
ENSG00000250356.1	HSPE1P23	0	0	0	0	0	0	0	0	0	0
ENSG00000250357.1	AC108935.1	0	0	0	0	0	0	0	0	0	0
ENSG00000250358.6	LINC02200	0	0	0.1787	0.5195	0	0	0.0131	0	0.0197	0
ENSG00000250359.1	PTP4A1P4	0	0	0	0	0	0	0	0	0	0
ENSG00000250360.1	AC008808.2	0	0	0	0.743	0	0	0	0.1212	0.2878	0.3027
ENSG00000250361.9	GYPB	0	0	0.0324	0.0443	0	0.9428	0	0	0.0286	0
ENSG00000250362.1	AC008592.1	0	0	0.1455	0	0	0	0	0	0.0642	0
ENSG00000250363.1	KRT18P21	0	0	0	0	0	0	0	0.1627	0.5149	0.1354
ENSG00000250365.7	AL139353.2	0.2616	0.4112	0.6426	0.5183	0.0313	3.2586	0.4824	0.1287	0.2473	0.4131
ENSG00000250366.3	TUNAR	0	0.4956	0.017	1.1408	0.1615	0.033	3.9668	0.019	0.5711	0
ENSG00000250371.1	AC007370.2	0	0.0239	0.0459	0	0	1.1123	0	0	0.1013	0
ENSG00000250372.1	MARK2P4	0	0	0.3377	0	0	0	0	0	0	0
ENSG00000250374.4	TRIM75P	0.0889	0.0699	0	0.1379	0.0319	0	0	0	0.1483	0
ENSG00000250375.2	AC097501.1	0	0	0	0	0	0	0.4748	0	0	0
ENSG00000250376.1	AC093720.1	0	0	0	0	0.3287	0	3.549	0.3864	0	0.7237
ENSG00000250377.2	AC008525.1	0	0	0	4.6553	0.0189	0	0.4429	0	0	0
ENSG00000250378.4	AC114296.1	0	1.7045	0	0.303	0.5886	0	0.0259	0.2224	0.2542	1.9747
ENSG00000250379.1	AC020659.2	0	0	0	0	0	0.1224	0	0	0	0
ENSG00000250381.1	UNC93B4	0	0.0861	0.2483	0	0	0	0	0.554	0.2192	0
ENSG00000250383.1	AC008871.1	0.2055	0	0	0	0	2.4093	0	0	0.4114	0
ENSG00000250384.1	UBE2CP3	0.1818	0.2857	0	0	0	46.081	0	0.1533	0.1213	0
ENSG00000250385.2	AC106772.2	0	0	0	0	0.0427	0	0.4218	0.3014	0.1193	2.258
ENSG00000250386.1	H3P21	0	0	0	0	0	0	0	0	0	0
ENSG00000250387.3	LINC02197	0	0	0	0	0.1176	0.0343	0	0.0395	0	0
ENSG00000250389.1	MTND6P2	0	0	0	0	0	0	0	0	0	0
ENSG00000250390.2	AP001790.1	0	0.5639	0	0	0.1029	0.4206	0	0.121	0.0958	0
ENSG00000250391.1	CRLF3P2	0	0	0	0	0	0.279	0	0	0	0
ENSG00000250392.2	LINC02502	1.2741	0	0	0.2634	0	0	0	0.1074	0	0
ENSG00000250393.1	AC093664.1	0	0	0	0	0	0	0	0	0	0
ENSG00000250397.2	AP006623.1	0.2778	4.7101	0.4799	2.7078	0.2562	0.9305	6.3583	1.6398	0.821	0.7521
ENSG00000250398.1	AC097467.2	0	0	0	0	0	0	0	0	0	0
ENSG00000250402.2	AC109471.1	0	0	0	0	0	0	0	0	0	0
ENSG00000250403.1	AC097460.1	0.1104	0.2603	0	0.2282	0	0.4853	0	0	0.221	0
ENSG00000250405.2	AC113367.3	0	0.0336	0	0	0	0.2508	0	0	0	0
ENSG00000250406.2	AC109811.1	0	0	0	0	0.0189	0.1158	0	0.0444	0	0
ENSG00000250407.1	AC008728.1	0	0	0	0.2447	0	0	0.1048	0	0	0
ENSG00000250409.1	AC010608.1	0	0	0	0	0	0	0	0	0	0
ENSG00000250410.1	AC112722.1	0.4181	0.7666	0.5266	1.0084	0.1999	0.6126	0.6167	0.705	0.279	0.8802
ENSG00000250412.1	KLHL2P1	4.5532	1.2339	0.5933	3.8952	1.5767	3.9111	0	0.2648	1.1524	0.3306
ENSG00000250413.1	SLC2A9-AS1	2.8514	0.8404	0.1347	0.3684	1.2783	0	0.3155	0.4508	0.7135	0
ENSG00000250415.1	AC022113.1	0	0	0	1.081	0.0833	0.3405	0.1028	0	0.0775	0
ENSG00000250416.2	SEC63P2	0	0	0	0	0	0.3091	0	0	0	0
ENSG00000250417.1	LINC02116	0	0	0	0	0	0	0	0	0	0
ENSG00000250418.1	AC093292.1	0	0	0	0	0	0	0	0	0	0
ENSG00000250420.8	AACSP1	0.0242	0	8.5235	0.2001	0.5381	0.1064	0.0857	0.1632	0.1292	0
ENSG00000250421.5	AC106798.1	0	0.3489	0	0	1.433	0.1626	0	0	2.7402	0.4674
ENSG00000250422.1	AC117529.2	0	0	0.0299	0	0	0.1159	0	0	0	0
ENSG00000250423.2	KIAA1210	0	0.378	0	0.0324	0.0375	0.0306	0.0093	0.0264	0.0628	0.022
ENSG00000250424.4	AC004691.2	0	0	0	0	0	0	0	0	0	0
ENSG00000250425.1	OR7E35P	0	0	0.0702	0	0	0	0	0	0.1239	0
ENSG00000250426.2	FTLP10	0	0	0	0	0	0.0799	0	0	0	0
ENSG00000250427.1	LINC02148	0	0.0526	0.0506	0.0691	0	0.196	0.2368	0.1128	0	0.1408
ENSG00000250428.1	MRS2P1	0.0666	0	0	0	0.0956	0	0	0	0	0
ENSG00000250430.1	AC106872.7	0	0	0	0	0	0	0	0	0	0
ENSG00000250431.1	AC105914.2	0	0	0	0.7258	0	0	0	0.8881	0	0
ENSG00000250432.5	FAM242C	0	0.1144	0.11	0.5266	0.0522	0.1066	0.8374	0.1227	0.1942	0
ENSG00000250433.1	CLSTN2-AS1	0.0304	0.0477	0.023	0.1256	0.0436	0	0.0807	0	0.0608	0
ENSG00000250436.1	LINC02499	0	0	0	0	0	0	0	0	0	0
ENSG00000250437.1	LINC02161	0	0	0	0	0	0	0	0	0.13	0
ENSG00000250438.1	AC025465.3	0	0	0	0	0	0	0	0	0	0
ENSG00000250441.1	AC109481.1	0	0.228	0	0.8995	0	5.1006	0	0	0.3871	0
ENSG00000250442.1	EIF3KP3	0	0	0	0	0	0	0.1133	0	0	0
ENSG00000250444.1	CCT5P1	0.1011	0.0397	0.0764	0.3136	0.0725	0.9631	0.0895	0	0.4048	0.1064
ENSG00000250446.1	LINC01332	0	0	0	0	0	0	0	0	0	0
ENSG00000250447.6	LINC02105	0	0	10.4951	0.1794	0	0.1272	0.192	0.0366	0	0
ENSG00000250448.1	AC092335.1	0	0.0311	0	0	0.0284	0	0	0	0	0
ENSG00000250451.5	HOXC-AS1	0	4.3438	1.7753	4.9992	7.8299	0	0.8561	0.3495	2.5816	0
ENSG00000250453.2	AC008825.1	0	0	0	0	0	0	0.0843	0	0.0212	0
ENSG00000250455.1	AC117532.1	0	0	0	0	0	0.3711	0	0	0.169	0
ENSG00000250456.1	LINC02260	0	0	0	0.3053	0	0	0	0	0	0
ENSG00000250458.2	AC093767.1	0	0	0	0	0	0	0	0	0	0
ENSG00000250461.1	AC122718.1	0.4398	0.2592	0.5817	1.2502	0.2366	10.472	0.1946	0.4635	2.5677	0.2315
ENSG00000250462.8	LRRC37BP1	2.8147	5.8702	2.1154	13.2639	4.7035	8.2029	10.9254	2.8772	1.8257	2.5163
ENSG00000250464.1	LRRC34P2	0	0	0	0.1529	0	0	0	0	0	0
ENSG00000250467.1	PHOX2B-AS1	0	0	0	0	0	0.1322	0	0	0	0
ENSG00000250470.1	AC253536.5	0	0	0	0	0	0	0	0	0	0
ENSG00000250471.2	GMPSP1	1.9779	0.3331	0.961	1.7525	0	1.2421	1.0003	0.4765	2.0739	0.8924
ENSG00000250472.1	TRIM36-IT1	0	0	0	0.192	0.0666	0.1361	0	0	0.062	0
ENSG00000250473.1	DUTP7	0	0.5291	0	0	0.1207	19.2374	0	0	0.3369	0
ENSG00000250474.2	WBP1LP2	0.9836	0.3221	0.4336	5.0836	2.4105	0.2402	0.4353	0.622	0.6016	0.8629
ENSG00000250475.1	AC017037.2	0	0	0	0	0	0	0	0	0	0
ENSG00000250476.1	ENPP7P9	0	0.4101	0	0	0	0	0.1155	0	0	0.2747
ENSG00000250479.9	CHCHD10	186.9708	148.2468	111.5452	36.5243	81.5111	4.8539	82.5797	69.7486	167.1827	83.3079
ENSG00000250480.3	AC034244.2	0	0	0	0.0986	0	0	0	0	0	0
ENSG00000250481.2	AC010451.1	0	0.0818	0	0	0.1493	0	0	0	0	0
ENSG00000250482.3	DUX4L51	0	0	0	0	0	0	0	0	0	0
ENSG00000250483.1	PPM1AP1	0	1.0196	0.0545	0	0.4136	0	0	0	1.058	0.3035
ENSG00000250484.2	PPIAP76	0.6185	0	0	0	0	0.6798	0	0	0.2064	0
ENSG00000250485.1	EXOC7P1	0	0	0	0	0	0	0	0	0	0
ENSG00000250486.5	FAM218A	0.9778	5.084	0.1137	3.0324	0.7014	0.1653	0.0666	0.6342	4.9688	0.3168
ENSG00000250488.2	LINC02233	0	0	0	0	0	0	0	0	0	0
ENSG00000250490.1	LINC02145	0.084	0.3739	0.0846	0.4339	0.1807	0.246	0.1238	0.236	0.2614	0.1768
ENSG00000250492.1	INTS6P1	0.0323	0.2795	0.1222	0.1671	0.3711	0.379	0	0.0273	0.1294	0.0681
ENSG00000250493.2	AP004147.1	0	0	0	0.1071	0.0186	0.0759	0.0229	0	0	0
ENSG00000250494.1	AC009646.1	0	0	0	0	0	0	0	0	0	0
ENSG00000250496.2	ABT1P1	0	0.0783	0	0	0	0.584	0	0	0	0
ENSG00000250497.1	AC007126.1	0	0	0	0.0531	0	0.1504	0	0	0	0
ENSG00000250500.1	AC017007.4	0	0	0	0	0	0	0	0	0	0
ENSG00000250501.3	AC093766.1	0.0565	0	0	0.0292	0	1.0355	0	0	0	0
ENSG00000250503.1	AC093831.1	0.1885	0	0	0	0	0	0	0	0	0
ENSG00000250504.2	KRT18P51	0	0	0	0	0.0787	0.3214	0	0	0.2195	0
ENSG00000250505.1	AC006499.3	0	0	0	0	0	0	0	0	0	0
ENSG00000250506.8	CDK3	0.4537	1.9611	0.8572	0.7035	0	0.5318	0.1606	0.3443	0.333	0.1911
ENSG00000250507.1	AC245884.6	0	0	0.1159	0	0	0.1123	0	0	0	0
ENSG00000250508.1	LINC02701	0.6037	0.7314	0.1141	0.364	0.5593	5.2708	0.4453	0.7423	0.3525	0.3707
ENSG00000250509.2	AC034213.1	0	0.2057	0	0.4059	1.5021	0	0	1.2139	0.3493	0.4134
ENSG00000250510.8	GPR162	0.4578	2.119	0.8266	61.0256	2.0981	0.2982	216.2988	12.7394	3.1059	2.2493
ENSG00000250511.1	AC098798.1	0.0565	0.0444	0	0.2337	0	0	0	0	0	0
ENSG00000250514.1	LINC02125	0	0.0292	0	0	0	0.0545	0	0	0	0
ENSG00000250515.1	AC116353.4	0	0	0	0	0	0.4814	0	0	0	0
ENSG00000250516.1	AC021678.1	0	0.0687	0.3302	0.0903	0.1881	0	0	0	0.1749	0
ENSG00000250517.2	LDHAL6CP	0	0	0	0	0	0.0358	0	0	0	0
ENSG00000250519.7	AP002784.1	5.0378	0.8063	0.706	3.6723	0.8897	0.6956	3.7406	0.4648	1.318	0.5159
ENSG00000250522.1	AC004066.1	0.429	0	0	0.1478	0.1026	0	0	0.7235	0.0954	0.6022
ENSG00000250523.1	AC093909.3	0	0.3827	0	0.5033	0	0	0	0	0	0
ENSG00000250524.1	AC106821.1	0	0	0	0	0	0	0	0	0	0
ENSG00000250526.1	CCT6P2	0.1027	0.0404	0.0776	0.7962	0	0.3762	0	0	0.3084	0.2162
ENSG00000250529.1	LINC02121	0	0	0	0	0	0	0	0	0	0
ENSG00000250532.1	AC021180.1	0	0	0	0	0	0	0	0.1236	0	0
ENSG00000250535.1	STK19B	0	1.8281	0	21.6403	16.6848	0	0.3431	0	1.8108	0
ENSG00000250536.1	ABHD17AP3	0	0.1131	0.7069	0.5206	0	0.2108	0.1274	0.1213	0.48	0.4544
ENSG00000250538.6	AC104407.1	0	0	0	0.2515	0	0	0	0	1.1364	0
ENSG00000250539.1	KRT8P33	2.0694	0.9036	1.6075	0.8319	1.3607	7.581	0.0509	1.3087	10.2796	3.51
ENSG00000250540.1	AC104685.1	0	0	0.3333	0	0.1582	0.6462	0	0	0	0
ENSG00000250541.1	AC092436.3	0	0.3993	0.512	0	0	0.2482	0	0.1428	0.226	0
ENSG00000250543.1	AC110716.1	0	0	0	0	0	0	0.1193	0	0	0
ENSG00000250544.2	LINC02059	0	0	0.1473	0	0	39.0029	0	0	0	0
ENSG00000250546.6	AC079160.1	0.9544	0	0	0.051	0	0	0	0	0.4612	0.1732
ENSG00000250547.1	AC079238.1	0	0	0	0	0	0	0	0	0	0
ENSG00000250548.7	LINC01303	0.0473	0.0124	0.1072	0.4075	0.1244	0.2772	0.1256	0.1197	0.1789	0.0664
ENSG00000250550.3	PPBPP1	0	0	0	0	0	0	0	0	0	0
ENSG00000250551.1	MIR583HG	0.1162	0	0.5269	0	0.25	0.1703	0	0.1959	0.0775	0
ENSG00000250555.2	AC008525.2	0	0	0	0	0	0	0	0	0	0
ENSG00000250556.1	CCDC34P1	0	0	0	0	0	0	0	0	0	0
